Non-BRTS,101-U,101-U-42,42,Ramdas Maral,रामदास मरळ,18.457354,73.890823,10,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-43,43,Kondhwa Bk,कोंढवा बु.,18.454190,73.890660,11,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-00,0,Lohgaon,लोहगांव,18.595764,73.924774,1,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-01,1,Panyachi Taki Lohgaon,पाण्याची टाकी लोहगाव ,18.593530,73.922612,1,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-02,2,Kendriya Vidyalay Lohgaon ,केंद्रीय विद्यालय लोहगाव ,18.591720,73.916870,1,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-03,3,Officers Mess,ऑफिसर्स मेस,18.589834,73.914533,2,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-04,4,Kalwad,कलवड,18.585337,73.905136,2,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-05,5,Burma Shell,बर्मा शेल,18.577938,73.903107,3,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-06,6,509,509,18.574501,73.899612,3,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-07,7,Sanjay Park,संजय पार्क,18.572208,73.899612,3,,,,,,,,, ,,,,,,,
Non-BRTS,102-D,102-D-08,8,Gaurdroom,गार्डरूम,18.566015,73.895273,3,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-09,9,Nagpur Chawl,नागपूर चाळ,18.563985,73.893598,4,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-10,10,Yerwada Post Office,येरवडा पोस्ट ऑफिस,18.559866,73.891774,4,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-11,11,Vikrikar Karyalay,विक्रीकर कार्यालय ,18.554165,73.890091,4,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-12,12,Netaji Highschool,नेताजी हायस्कूल,18.552010,73.889595,5,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-13,13,Neeta Park,निता पार्क,18.545632,73.888562,5,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-14,14,Yerawada,येरवडा,18.545026,73.885453,5,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-15,15,Bundgarden,बंडगार्डन,18.540804,73.883695,6,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-16,16,Wadia College,वाडीया कॉलेज,18.535970,73.880390,6,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-17,17,Jehangir Hospital,जहांगीर हॉस्पिटल,18.529768,73.875913,6,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-18,18,Alankar Talkies,अलंकार टॉकिज,18.528458,73.876220,6,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-19,19,Incometax Office,इनकमटॅक्स ऑफिस,18.525427,73.876599,6,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-20,20,GPO,जीपीओ,18.523011,73.876202,6,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-21,21,Collector Kacheri,कलेक्टर कचेरी,18.524353,73.871855,7,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-22,22,Gadital,गाडीतळ,18.527258,73.864116,8,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-23,23,RTO,आरटीओ,18.529804,73.862656,8,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-24,24,Engineering College,इंजिनिअरिंग कॉलेज,18.530258,73.854485,8,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-25,25,COEP Hostel,सीओईपी हॉस्टेल,18.528593,73.852315,9,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-26,26,Modern HighSchool,मॉडर्न हायस्कुल,18.524627,73.849350,9,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-27,27,Balgandharv,बालगंधर्व,18.522997,73.848318,9,,,,,,,,,,,,,,,,
Non-BRTS,102-D,102-D-28,28,Natraj Talkies,नटराज टॉकीज ,18.519260,73.845270,9,,,,,,,,,,,,,,,,
