BRTS,321A-D,321A-D-13,13,Hinjawadi Jakat Naka,हिंजवडी जकात नाका,18.595850,73.740310,6,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-14,14,Sawtamali Mandir,सावतामाळी मंदिर,18.592078,73.754691,6,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-15,15,Wakad Chowk,वाकड चौक,18.592449,73.762020,6,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-16,16,Mount Vert Society Wakad,माऊंट व्हर्ट सोसायटी वाकड ,18.590099,73.769593,6,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-17,17,Mankar Chowk,मानकर चौक,18.590416,73.773380,7,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-18,18,Ma Na Pa Shala Wakad,मनपा शाळा वाकड,18.594453,73.773550,7,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-19,19,Nisarga Society,निसर्ग सोसायटी,18.598569,73.774658,7,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-20,20,Kalewadi Phata,काळेवाडी फाटा,18.604041,73.777299,7,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-21,21,Shivraj Nagar,शिवराज नगर,18.599592,73.780655,8,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-22,22,Jagtap Dairy,जगताप डेअरी,18.593459,73.784509,8,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-23,23,Sai Chowk Pimple Saudagar,साई चौक पिंपळे सौदागर,18.593174,73.785916,8,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-24,24,Shivar Chowk,शिवार चौक,18.594933,73.788684,8,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-25,25,Kunal Icon,कुणाल आयकॉन,18.594144,73.791087,9,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-26,26,Roseland Society,रोजलॅंड निसर्ग निर्मिती सोसायटी,18.593510,73.794725,9,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-27,27,Rose Icon,रोज आयकॉन,18.593191,73.798312,9,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-28,28,Kate Petrol Pump,काटे पेट्रोल पंप,18.592649,73.801894,9,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-29,29,Sukhvani Lawns,सुखवानी  लॉन्स,18.593975,73.801186,10,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-30,30,Govind Yashada Chowk,गोविंद  यशदा  चौक,18.597225,73.803377,10,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-31,31,Kokane Chowk,कोकणे चौक,18.597684,73.790847,10,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-32,32,Ganesh Mandir Rahatani,गणेश  मंदिर  रहाटणी,18.599879,73.792971,10,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-33,33,Rahatani Gaon,रहाटणी  गाव,18.602650,73.795892,11,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-34,34,Mahadev Mandir Pimple Saudagar,महादेव मंदिर पिंपळे सौदागर,18.602028,73.799867,11,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-35,35,Pimple Saudagar Pump,पिंपळे सौदागर  पंप,18.600693,73.802992,11,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-36,36,Kate Patil Chowk,काटे पाटील चौक,18.599402,73.808203,11,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-37,37,Sudarshannagar,सुदर्शननगर,18.598563,73.812048,11,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-38,38,Bhairavnagar Pimplegurav,भैरवनगर पिंपळेगुरव,18.597145,73.814132,12,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-39,39,Srushti Chowk,सृष्टी चौक,18.597025,73.816543,12,,,,,,,,,,,,,,,,
